sind,year,ss,seas,dps,tmax,tmin,frost,rain,sun
1959.167,1959,1,win,90,8.8,2.1,12,211.6,1450
1959.417,1959,2,spr,92,15.5,5.2,0,224.3,518
1959.667,1959,3,sum,92,19.1,10.9,0,107.6,977
1959.917,1959,4,aut,91,19.6,6.6,0,396.2,735
1960.167,1960,1,win,91,9.1,2.3,9,392.4,1321
1960.417,1960,2,spr,92,15.5,4.2,0,197.3,527
1960.667,1960,3,sum,92,18.0,11.6,0,231.3,686
1960.917,1960,4,aut,91,15.7,5.8,0,493.9,996
1961.167,1961,1,win,90,9.5,2.3,13,315.8,1272
1961.417,1961,2,spr,92,13.8,5.7,0,174.7,437
1961.667,1961,3,sum,92,17.6,10.2,0,183.6,726
1961.917,1961,4,aut,91,17.7,5.1,0,350.2,1071
1962.167,1962,1,win,90,7.8,1.7,24,215.4,1439
1962.417,1962,2,spr,92,12.1,0.5,15,163.3,512
1962.667,1962,3,sum,92,17.0,9.3,0,189.3,588
1962.917,1962,4,aut,91,15.0,4.6,0,247.1,465
1963.167,1963,1,win,90,6.4,-3.5,57,113.6,1036
1963.417,1963,2,spr,92,12.6,3.9,2,250.3,316
1963.667,1963,3,sum,92,17.3,10.7,0,184.5,460
1963.917,1963,4,aut,91,15.8,6.9,0,292.9,1026
1964.167,1964,1,win,91,7.3,1.2,24,64.5,1406
1964.417,1964,2,spr,92,15.3,2.8,4,163.6,332
1964.667,1964,3,sum,92,17.7,10.3,0,147.9,517
1964.917,1964,4,aut,91,17.3,6.2,1,184.7,684
1965.167,1965,1,win,90,7.8,1.4,22,268.0,1360
1965.417,1965,2,spr,92,14.2,3.2,6,161.8,535
1965.667,1965,3,sum,92,17.7,9.9,0,172.9,679
1965.917,1965,4,aut,91,15.1,3.6,6,257.2,723
1966.167,1966,1,win,90,8.8,2.2,17,361.2,1222
1966.417,1966,2,spr,92,13.8,4.8,2,194.6,389
1966.667,1966,3,sum,92,17.0,11.1,0,217.1,646
1966.917,1966,4,aut,91,17.0,4.7,0,277.5,606
1967.167,1967,1,win,90,8.9,3.3,5,271.1,1335
1967.417,1967,2,spr,92,12.0,4.6,1,166.6,400
1967.667,1967,3,sum,92,18.2,10.1,0,177.0,665
1967.917,1967,4,aut,91,15.5,3.9,1,387.8,1104
1968.167,1968,1,win,91,8.1,0.2,23,185.1,762
1968.417,1968,2,spr,92,12.0,3.6,6,187.1,506
1968.667,1968,3,sum,92,18.0,10.3,0,166.3,876
1968.917,1968,4,aut,91,15.8,5.2,3,250.0,888
1969.167,1969,1,win,90,7.9,0.1,20,239.7,1230
